Sweep: 10000 | Number of clusters: 12
  1(-5.394538):    1[0]    2[0]    7[0]
  2(-1.383378):    3[0]    4[0]
  3(-1.298365):    5[0]    6[0]
  4(0.000000):    8[0]
  5(0.000000):    9[0]
  6(0.000000):   10[0]
  7(0.000000):   11[0]
  8(0.000000):   12[0]
  9(0.000000):   13[0]
 10(0.000000):   14[0]
 11(0.000000):   15[0]
 12(0.000000):   16[0]
Sweep: 20000 | Number of clusters: 9
  1(-5.516050):    1[0]    2[0]    7[0]
  2(-1.437581):    3[0]    4[0]    8[0]
  3(-1.471734):    5[0]    6[0]
  4(0.000000):    9[0]
  5(-0.985527):   10[0]   11[0]
  6(0.000000):   12[0]
  7(0.000000):   13[0]
  8(0.000000):   14[0]
  9(0.000000):   15[0]
